date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-09,PR,Rio Azul,city,1,0,True,15236,4122008,6.5634,0.0
2020-06-09,PR,Rio Bonito do Iguaçu,city,2,0,True,13269,4122156,15.07273,0.0
2020-06-09,PR,Rio Branco do Sul,city,7,0,True,32397,4122206,21.60694,0.0
2020-06-09,PR,Rio Negro,city,12,1,True,34170,4122305,35.11853,0.0833
2020-06-09,PR,Rolândia,city,24,2,True,66580,4122404,36.04686,0.0833
2020-06-09,PR,Rondon,city,20,0,True,9579,4122602,208.79006,0.0
2020-06-09,PR,Salgado Filho,city,4,0,True,3580,4122800,111.73184,0.0
2020-06-09,PR,Salto do Itararé,city,1,0,True,4935,4122909,20.26342,0.0
2020-06-09,PR,Santa Amélia,city,3,0,True,3324,4123105,90.25271,0.0
2020-06-09,PR,Santa Cecília do Pavão,city,4,0,True,3334,4123204,119.976,0.0
2020-06-09,PR,Santa Cruz de Monte Castelo,city,4,0,True,7800,4123303,51.28205,0.0
2020-06-09,PR,Santa Fé,city,8,1,True,12037,4123402,66.46174,0.125
2020-06-09,PR,Santa Helena,city,6,0,True,26490,4123501,22.65006,0.0
2020-06-09,PR,Santa Inês,city,1,0,True,1596,4123600,62.65664,0.0
2020-06-09,PR,Santa Isabel do Ivaí,city,13,1,True,8562,4123709,151.83368,0.0769
2020-06-09,PR,Santa Lúcia,city,1,0,True,3813,4123824,26.22607,0.0
2020-06-09,PR,Santa Mariana,city,13,1,True,11724,4123907,110.88366,0.0769
2020-06-09,PR,Santa Mônica,city,9,1,True,3981,4123956,226.07385,0.1111
2020-06-09,PR,Santana do Itararé,city,1,0,True,4992,4124004,20.03205,0.0
2020-06-09,PR,Santa Tereza do Oeste,city,15,1,True,10139,4124020,147.94358,0.0667
2020-06-09,PR,Santa Terezinha de Itaipu,city,28,0,True,23465,4124053,119.32666,0.0
2020-06-09,PR,Santo Antônio da Platina,city,6,0,True,45993,4124103,13.04546,0.0
2020-06-09,PR,Santo Antônio do Caiuá,city,22,1,True,2641,4124202,833.0178,0.0455
2020-06-09,PR,Santo Antônio do Sudoeste,city,1,0,True,20166,4124400,4.95884,0.0
2020-06-09,PR,Santo Inácio,city,5,0,True,5438,4124509,91.94557,0.0
2020-06-09,PR,São João,city,2,0,True,10241,4124806,19.52934,0.0
2020-06-09,PR,São João do Caiuá,city,35,1,True,5855,4124905,597.77968,0.0286
2020-06-09,PR,São João do Ivaí,city,6,1,True,10219,4125001,58.71416,0.1667
2020-06-09,PR,São João do Triunfo,city,1,0,True,15120,4125100,6.61376,0.0
2020-06-09,PR,São José da Boa Vista,city,1,1,True,6206,4125407,16.11344,1.0
2020-06-09,PR,São José dos Pinhais,city,152,8,True,323340,4125506,47.00934,0.0526
2020-06-09,PR,São Manoel do Paraná,city,5,0,True,2160,4125555,231.48148,0.0
2020-06-09,PR,São Mateus do Sul,city,1,1,True,46261,4125605,2.16165,1.0
2020-06-09,PR,São Miguel do Iguaçu,city,2,0,True,27452,4125704,7.28544,0.0
2020-06-09,PR,São Tomé,city,12,0,True,5722,4126108,209.71688,0.0
2020-06-09,PR,Sapopema,city,18,1,True,6736,4126207,267.2209,0.0556
2020-06-09,PR,Sarandi,city,13,1,True,96688,4126256,13.44531,0.0769
2020-06-09,PR,Saudade do Iguaçu,city,6,0,True,5500,4126272,109.09091,0.0
2020-06-09,PR,Sertaneja,city,8,0,True,5284,4126405,151.40045,0.0
2020-06-09,PR,Sertanópolis,city,2,1,True,16369,4126504,12.21822,0.5
